10	  2.2187	  16.7458	-0.9878	2.1423	-0.8743	1.9928	-1	0.1520	0.1092	1	0.0000	4.8495	133	
10	  2.2354	  16.6293	-0.8637	2.0533	-0.8701	2.0170	-1	0.1351	0.1192	1	0.0166	4.3097	134	
10	  2.2521	  16.7470	-0.8590	1.9829	-0.8656	2.0033	-1	0.1270	0.1209	1	0.0334	4.0503	135	
10	  2.2687	  16.6257	-0.2395	1.1141	-0.6152	1.6477	-1	0.1328	0.0797	1	0.0000	4.2361	136	
10	  2.2855	  16.7485	-0.9554	2.1727	-0.7513	1.8577	-1	0.1341	0.1137	1	0.0000	4.2776	137	
10	  2.3021	  16.6239	-0.7940	1.9366	-0.7684	1.8892	-1	0.1355	0.1133	1	0.0166	4.3205	138	
10	  2.3189	  16.7500	-0.7175	2.0167	-0.7480	1.9402	-1	0.1491	0.1202	1	0.0334	4.7558	139	
10	  2.3355	  16.6236	-1.1499	2.2918	-0.9088	2.0808	-1	0.1284	0.1190	1	0.0000	4.0938	140	
10	  2.3523	  16.7660	-1.2564	2.4005	-1.0478	2.2087	-1	0.1328	0.1128	1	0.0000	4.2353	141	
10	  2.3689	  16.6048	-0.7932	1.9915	-0.9460	2.1218	-1	0.1393	0.1186	1	0.0000	4.4445	142	
10	  2.3856	  16.7524	-0.8229	2.0365	-0.8968	2.0877	-1	0.1430	0.1194	1	0.0168	4.5611	143	
10	  2.4022	  16.6326	-0.1683	0.8878	-0.6054	1.6077	-1	0.1164	0.0714	1	0.0000	3.7112	144	
10	  2.4190	  16.7401	-0.2154	1.1559	-0.4494	1.4270	-1	0.1303	0.0779	1	0.0000	4.1576	145	
10	  2.4356	  16.6166	-0.7825	1.8937	-0.5826	1.6137	-1	0.1370	0.1130	1	0.0000	4.3707	146	
10	  2.4522	  16.6483	-0.8913	2.1361	-0.7061	1.8227	-1	0.1515	0.1234	1	0.0000	4.8327	147	
10	  2.4690	  16.7349	-0.7459	1.8024	-0.7220	1.8146	-1	0.1318	0.1051	1	0.0167	4.2028	148	
10	  2.4856	  16.6245	-3.6519	4.1525	-1.8940	2.7497	-1	0.0860	0.0510	1	0.0000	2.7443	149	
10	  2.5022	  16.6242	-0.9223	2.0620	-1.5053	2.4746	-1	0.1395	0.1153	1	0.0000	4.4481	150	
10	  2.5190	  16.7470	-0.9490	2.1531	-1.2828	2.3460	-1	0.1463	0.1157	1	0.0000	4.6656	151	
10	  2.5357	  16.7518	-0.8602	1.9937	-1.1137	2.2051	-1	0.1284	0.1209	1	0.0000	4.0942	152	
10	  2.5524	  16.6211	-0.2297	0.7741	-0.7601	1.6327	-1	0.1135	0.0678	1	0.0000	3.6191	153	
10	  2.5690	  16.6263	-1.0182	2.2246	-0.8633	1.8694	-1	0.1451	0.1127	1	0.0000	4.6266	154	
10	  2.5857	  16.7488	-0.8022	1.9234	-0.8389	1.8910	-1	0.1351	0.1142	1	0.0167	4.3088	155	
10	  2.6024	  16.6260	-0.7828	2.0119	-0.8165	1.9394	-1	0.1559	0.1146	1	0.0334	4.9726	156	
10	  2.6191	  16.7470	-0.9855	2.2241	-0.8841	2.0533	-1	0.1483	0.1147	1	0.0000	4.7293	157	
10	  2.6357	  16.6302	-1.1296	2.2778	-0.9823	2.1431	-1	0.1315	0.1167	1	0.0000	4.1929	158	
10	  2.6525	  16.7425	-0.9375	2.0734	-0.9644	2.1152	-1	0.1407	0.1103	1	0.0167	4.4862	159	
10	  2.6691	  16.6263	-0.8851	2.0930	-0.9327	2.1063	-1	0.1453	0.1190	1	0.0334	4.6358	160	
10	  2.6858	  16.7503	-0.9662	2.1369	-0.9461	2.1185	-1	0.1398	0.1153	1	0.0168	4.4599	161	
10	  2.7025	  16.6226	0.1357	1.0445	-0.5134	1.6889	-1	0.1445	0.0761	1	0.0000	4.6080	162	
10	  2.7192	  16.7684	-0.5257	1.5954	-0.5183	1.6515	-1	0.1177	0.1001	1	0.0168	3.7543	163	
10	  2.7359	  16.6106	-0.6607	1.8965	-0.5753	1.7495	-1	0.1450	0.1213	1	0.0334	4.6248	164	
10	  2.7526	  16.7470	-0.7843	1.9038	-0.6589	1.8112	-1	0.1421	0.1184	1	0.0167	4.5324	165	
10	  2.7692	  16.6223	-1.1825	2.3407	-0.8683	2.0230	-1	0.1381	0.1113	1	0.0000	4.4050	166	
10	  2.7860	  16.7452	-3.5383	4.0517	-1.9363	2.8345	-1	0.0444	0.0273	1	0.0000	1.4165	167	
10	  2.8026	  16.6290	-0.7413	1.9165	-1.4583	2.4673	-1	0.1478	0.1182	1	0.0000	4.7154	168	
10	  2.8193	  16.7506	-0.7624	1.9383	-1.1799	2.2557	-1	0.1480	0.1163	1	0.0000	4.7217	169	
10	  2.8360	  16.6217	-0.1249	1.0397	-0.7579	1.7693	-1	0.1264	0.0739	1	0.0000	4.0310	170	
10	  2.8527	  16.7817	-0.1780	0.8903	-0.5259	1.4177	-1	0.1190	0.0712	1	0.0000	3.7962	171	
10	  2.8693	  16.5903	-0.6770	1.9578	-0.5864	1.6338	-1	0.1423	0.1250	1	0.0000	4.5376	172	
10	  2.8860	  16.6260	-0.7651	2.0259	-0.6579	1.7906	-1	0.1519	0.1187	1	0.0000	4.8453	173	
10	  2.9583	  72.3281	-0.5718	1.7959	-0.6235	1.7927	-1	0.1509	0.1238	1	0.0723	4.8115	174	
10	  2.9695	  11.1664	-0.8277	2.0156	-0.7052	1.8819	-1	0.1392	0.1203	1	0.0000	4.4398	175	
10	  2.9861	  16.6531	0.0080	0.5878	-0.4199	1.3642	-1	0.0359	0.0232	1	0.0000	1.1445	176	
10	  3.0027	  16.6184	-0.2723	1.1489	-0.3609	1.2781	-1	0.1284	0.0812	1	0.0166	4.0940	177	
10	  3.0195	  16.7533	-0.7701	1.8573	-0.5246	1.5098	-1	0.1167	0.0943	1	0.0000	3.7216	178	
10	  3.0361	  16.6239	-0.7651	1.9288	-0.6208	1.6774	-1	0.1464	0.1211	1	0.0000	4.6693	179	
