10	  1.4681	  16.7002	0.4478	0.3664	0.4580	0.2577	-1	0.1799	0.1407	1	0.0167	5.7384	88	
10	  1.4848	  16.7186	0.2286	0.2086	0.3663	0.2380	-1	0.1883	0.1448	1	0.0167	6.0067	89	
10	  1.5015	  16.7087	0.5307	0.5473	0.4320	0.3618	-1	0.1847	0.1588	1	0.0000	5.8902	90	
10	  1.5182	  16.6785	0.5070	0.1643	0.4620	0.2828	-1	0.2116	0.1409	1	0.0167	6.7493	91	
10	  1.5349	  16.7002	0.3730	0.0430	0.4264	0.1869	-1	0.1857	0.1627	1	0.0334	5.9218	92	
10	  1.5515	  16.6166	0.3717	0.0256	0.4045	0.1224	-1	0.2339	0.1316	1	0.0166	7.4613	93	
10	  1.5682	  16.7440	0.4475	0.2829	0.4217	0.1866	-1	0.1824	0.1351	1	0.0167	5.8168	94	
10	  1.5849	  16.6269	0.4880	0.1457	0.4482	0.1702	9	0.2077	0.1277	1	0.0166	6.6248	95	
10	  1.6016	  16.7730	0.2675	0.1451	0.3759	0.1602	-1	0.1894	0.1440	1	0.0168	6.0419	96	
10	  1.6182	  16.6027	0.5624	0.4525	0.4505	0.2771	-1	0.1793	0.1484	1	0.0000	5.7192	97	
10	  1.6350	  16.7751	0.5719	0.0275	0.4991	0.1773	9	0.1884	0.1497	1	0.0168	6.0100	98	
10	  1.6516	  16.5876	0.4892	0.4074	0.4951	0.2693	-1	0.0161	0.0161	1	0.0334	0.5147	99	
10	  1.6684	  16.8038	0.4254	0.2416	0.4672	0.2582	-1	0.1819	0.1363	1	0.0168	5.8009	100	
10	  1.6850	  16.6245	0.5722	0.3049	0.5092	0.2769	-1	0.1967	0.1285	1	0.0166	6.2731	101	
10	  1.7018	  16.7503	0.7384	0.1329	0.6009	0.2193	-1	0.1896	0.1484	1	0.0000	6.0481	102	
10	  1.7184	  16.5855	0.7807	0.9069	0.6728	0.4943	-1	0.1109	0.0472	1	0.0000	3.5383	103	
10	  1.7350	  16.6706	0.7198	0.1172	0.6916	0.3435	-1	0.1739	0.1380	1	0.0000	5.5459	104	
10	  1.7518	  16.7696	0.7029	0.5163	0.6961	0.4126	-1	0.1801	0.1404	1	0.0168	5.7445	105	
10	  1.7684	  16.5991	0.6891	0.4252	0.6933	0.4177	-1	0.1670	0.1357	1	0.0334	5.3270	106	
10	  1.7852	  16.7754	0.6528	0.3885	0.6771	0.4060	-1	0.1609	0.1389	1	0.0501	5.1311	107	
10	  1.8018	  16.5997	0.7108	0.2681	0.6906	0.3508	-1	0.2183	0.1422	1	0.0667	6.9641	108	
10	  1.8185	  16.7775	0.7985	-0.1047	0.7338	0.1686	2	0.2148	0.1689	1	0.0000	6.8498	109	
10	  1.8351	  16.5970	0.5097	0.3549	0.6441	0.2431	-1	0.1884	0.1440	1	0.0000	6.0077	110	
10	  1.8518	  16.6223	0.7176	-0.0430	0.6735	0.1287	-1	0.1646	0.1400	1	0.0166	5.2510	111	
10	  1.8685	  16.7558	0.6841	0.2624	0.6777	0.1822	2	0.1785	0.1351	1	0.0334	5.6937	112	
10	  1.8851	  16.6202	0.6824	-0.0154	0.6796	0.1031	-1	0.1837	0.1340	1	0.0166	5.8595	113	
10	  1.9019	  16.7533	0.7173	-0.0145	0.6947	0.0561	-1	0.1668	0.1552	1	0.0168	5.3212	114	
10	  1.9185	  16.6196	0.7160	0.4783	0.7032	0.2250	2	0.1745	0.1537	1	0.0000	5.5665	115	
10	  1.9353	  16.7615	0.6820	0.0662	0.6947	0.1614	2	0.1990	0.1456	1	0.0168	6.3464	116	
10	  1.9519	  16.6151	0.6688	0.3695	0.6844	0.2447	2	0.1772	0.1401	1	0.0334	5.6526	117	
10	  1.9687	  16.7811	0.6692	0.1796	0.6783	0.2186	2	0.1821	0.1511	1	0.0168	5.8072	118	
10	  1.9853	  16.6154	0.7658	0.0283	0.7133	0.1425	2	0.1807	0.1422	1	0.0166	5.7648	119	
10	  2.0021	  16.7745	0.6384	0.3118	0.6834	0.2102	2	0.1765	0.1441	1	0.0168	5.6307	120	
10	  2.0187	  16.6018	0.6690	0.2230	0.6776	0.2154	2	0.2119	0.1366	1	0.0166	6.7600	121	
10	  2.0354	  16.7639	0.7449	0.3326	0.7045	0.2623	2	0.1533	0.1454	1	0.0168	4.8895	122	
10	  2.0520	  16.6088	0.6545	0.4989	0.6845	0.3569	-1	0.1823	0.1609	1	0.0166	5.8147	123	
10	  2.0688	  16.7636	0.7258	0.4678	0.7010	0.4013	-1	0.1843	0.1463	1	0.0168	5.8770	124	
10	  2.0854	  16.6211	0.6421	0.2564	0.6775	0.3433	-1	0.1769	0.1362	1	0.0166	5.6423	125	
